Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
192802,-31.43,-0.78,-1.17,-2.97,-0.76,-0.75,-0.82,-2.24,-5.38,-0.11,-2.06,-0.82,-0.59,-0.75,-0.93,-2.61,-1.74,-5.27,-5.55
192803,45.83,12.21,6.23,8.1,15.41,6.11,6.63,5.79,12.26,17.25,11.7,6.22,5.85,7.29,5.7,5.59,6.05,12.95,11.19
192804,-5.71,2.97,6.21,5.43,1.98,6.77,6.08,3.24,6.66,0.95,4.17,5,10.74,8.46,2.69,2.07,4.79,4.61,9.91
192805,-7.58,2.68,0.06,0.98,2.46,1.98,-0.07,1.3,-0.33,3.89,-0.49,3.12,-0.49,-0.47,0.52,1,1.68,-0.87,0.48
192806,42.62,-3.72,-4.37,-5.67,-3.62,-4.06,-3.86,-5.32,-7.37,-3.58,-3.71,-3.92,-4.39,-3.84,-3.89,-5.74,-4.79,-8.39,-5.84
192807,-10.34,1.32,0.1,0.46,1.47,-0.01,0.26,0.61,0.41,0.82,3.32,0.72,-0.52,-0.41,0.65,0.7,0.49,0.53,0.04
192808,6.41,8.67,5.38,6.18,8.7,6.89,5.5,5.06,6.08,8.1,10.38,8.56,5.74,7.5,4.35,4.15,6.25,5.55,7.71
192809,0,3.02,2.05,4.64,3.02,2.14,2.53,1.87,7.12,3.18,2.59,3.03,1.51,3.5,1.95,1.16,2.78,7.95,4.65
192810,1.2,1.49,1.47,2.08,1.59,2.33,1.06,0.97,1.27,1.43,2.04,1.11,3.22,1.24,0.96,-0.41,2.72,2.92,-3.8
192811,59.52,11.1,13.22,12.81,11.4,10.7,15.28,9.56,15.16,10.7,13.35,9.9,11.26,18.84,13.14,8.38,11,16.13,11.97
192812,-1.49,0.93,-0.01,0.81,0.83,1.4,-0.81,1.13,-0.59,0.83,0.83,1.35,1.44,0.4,-1.58,0.48,1.91,-0.67,-0.31
192901,-3.03,6.37,4.72,2.34,6.25,8.87,2.12,3.79,1.11,6.41,5.81,6.87,10.28,2.63,1.79,4.22,3.28,0.01,4.82
192902,-9.38,-0.55,0.86,2.55,-0.8,1.05,0.83,0.99,2.29,-0.42,-1.86,0.45,1.46,1.37,0.49,-0.49,2.74,2.57,1.37
192903,-13.79,-1.49,2,-0.9,-0.75,-0.6,2.74,-0.77,-1.7,-0.15,-2.41,-4.35,1.92,3.24,2.41,-1.19,-0.3,-1.2,-3.35
192904,16,2.17,1.18,2.37,2.13,2.29,0.9,0.9,2.49,1.63,3.56,2.31,2.28,0.69,1.04,-0.3,2.27,3.15,0.31
192905,17.24,-5.82,-4.35,-7.41,-5.83,-6.94,-3.41,-4.5,-5.02,-7.34,-1.68,-5.77,-7.69,-3.46,-3.38,-0.17,-9.18,-3.68,-9.55
192906,-17.65,12.35,9.36,7.26,11.87,12.96,8.36,7.94,5.57,10.14,16.34,14.29,12.09,12.29,5.82,7.4,8.59,5.11,7.19
192907,-4.83,3.5,5.91,4.79,2.77,5.76,5.02,6.72,5.6,2.05,4.4,5.77,5.73,5.85,3.77,8.26,4.23,6.07,3.2
192908,10.45,7.13,12.01,5.88,6.33,10.34,11.35,11.27,4.63,6.01,7.02,9.57,11.61,10.96,11.94,13.94,6.76,5.36,0.76
192909,-13.19,-4.42,-4.94,-5.95,-5.36,-2.98,-4.04,-6.58,-5.87,-6.46,-2.97,-1.57,-5.21,-4.06,-4.02,-6.9,-6.01,-5.99,-5.18
192910,-28.3,-24.14,-14.28,-11.7,-25.1,-20.64,-13.75,-11.45,-12.56,-25.66,-23.87,-21.38,-19.42,-14.95,-11.91,-11.65,-11.1,-11.56,-18.06
192911,-11.91,-14.29,-10.89,-8.26,-13.38,-16.27,-9.65,-9.54,-9.28,-13.8,-12.49,-16.76,-15.49,-10.68,-8.13,-10.66,-7.56,-8.32,-14.98
192912,-4.92,3.29,0.41,0.93,3.52,2.23,-0.06,0.41,2.69,2.77,5.09,2.65,1.56,-0.75,0.94,0.79,-0.25,1.73,8.77
193001,3.2,7.16,3.58,3.58,7.02,7.7,1.62,4.91,2.88,7.71,5.58,7.56,7.93,1.36,1.99,5.4,4.06,2.41,5.67
193002,8.15,3.44,1.87,1.62,2.92,4.84,0.88,1.44,3.78,2.43,3.97,4.9,4.75,2.64,-1.61,2.2,0.11,4.37,0.38
193003,-2.33,6.84,8.45,6.05,6.73,6.32,10.73,5.74,6.22,6.83,6.52,7.18,4.96,9.52,12.53,5.64,5.93,5.93,7.91
193004,-9.49,-2.44,-1.71,-6.23,-1.06,-3.62,-0.86,-5.84,-5.77,-2.24,1.38,-6.28,0.74,-1.88,0.64,-5.43,-6.56,-5.03,-10.05
193005,-19.31,0.64,-2.27,-1.58,0.41,-0.43,-2.31,-1.49,-1.98,0.67,-0.09,1.31,-3.09,-2.32,-2.29,-1.6,-1.29,-1.94,-2.25
193006,-32.39,-17.84,-13.24,-12.81,-17.98,-16.92,-13.78,-10.57,-14.08,-18.59,-16.74,-17.46,-16.05,-12.42,-15.73,-9.84,-11.88,-12.75,-22.19
193007,2.41,4.43,4.2,4.69,5.21,4.05,3.52,2.64,2.83,5.1,5.38,1.92,6.54,3.58,3.32,-0.44,5.4,4.05,-1.38
193008,-6.47,1.14,-0.83,-1.81,1.3,-0.46,0.02,-1.89,-3.24,1.95,0.23,0.6,-1.67,0.27,-0.8,-2.62,-1.28,-4.15,0.05
193009,-16.04,-12.05,-11.86,-17.52,-12.64,-12.13,-10.1,-14.5,-20.35,-12.88,-12.25,-10.09,-14.54,-9.94,-10.65,-12.14,-16.48,-20.21,-20.81
193010,-14,-9.44,-7.34,-11.35,-10.14,-7.26,-7.04,-9.81,-13.55,-10.85,-8.97,-7.13,-7.42,-6.17,-9.88,-8.93,-10.57,-13.95,-12.15
193011,-16.82,-2.33,-2.83,-5.77,-2.35,-1.18,-4.44,-5.24,-4.62,-4.5,1.14,-2.28,0.18,-4.38,-4.67,-4.19,-6.16,-4.66,-4.51
193012,-16.36,-5.86,-9.25,-11.33,-5.58,-8.33,-7.96,-11.27,-16.94,-5.55,-5.63,-6.73,-10.27,-6.7,-12.25,-13.35,-9.39,-17.48,-15.11
193101,13.38,4.77,7.16,13.93,4.62,5.1,7.43,13.81,16.74,3.73,6,5.25,4.92,6.45,10.98,14.71,13.03,15.72,20.08
193102,11.59,12.87,6.94,13.16,13.87,9.57,5.96,7.75,19.23,13.79,13.98,9.74,9.36,5.1,8.98,3.79,11.17,21.67,11.48
193103,1.86,-4.2,-10.04,-8.49,-3.83,-8.1,-8.98,-9.52,-8.77,-3.87,-3.76,-5.42,-11.5,-9.02,-8.83,-10.98,-8.39,-8.56,-9.5
193104,-22.65,-8.88,-11.24,-12.82,-9.31,-8.86,-11.39,-12.22,-14.59,-9.87,-8.47,-7.46,-10.76,-10.97,-12.8,-12.26,-12.19,-13.89,-17.05
193105,-23,-11.38,-15.61,-19.07,-11.59,-11.48,-17.04,-18.48,-20.68,-10.81,-12.75,-10.67,-12.61,-17.33,-16.03,-18.45,-18.51,-22.46,-14.19
193106,7.65,12.82,15.78,24.23,12.89,13.92,15.01,22.27,27.36,13,12.72,12.61,15.81,14.36,17.19,21.09,23.17,27.4,27.22
193107,-21.28,-5.19,-10.1,-10.21,-5.33,-6.72,-10.55,-10.67,-8.77,-5.17,-5.62,-4.56,-9.45,-8.2,-13.43,-10.43,-11.24,-9.63,-5.22
193108,3.3,0.88,-1.56,-1.35,0.02,1.3,-0.52,-1.08,-0.22,-0.76,1.38,4.63,-3.14,-0.32,-0.77,-0.62,-2.18,1.47,-6.88
193109,-40.87,-28.85,-28.28,-34.55,-29.27,-25.1,-31.46,-33.4,-38.08,-30.65,-27.01,-27.15,-22.14,-29.75,-33.7,-34.03,-31.86,-38.88,-34.68
193110,6.69,9.51,3.59,9.24,9.27,6.94,3.73,7.34,11.43,9.92,8.25,10.43,2.21,3.71,3.77,7.17,7.73,13.01,5.08
193111,-9.05,-6.14,-16.15,-12.86,-5.91,-10.18,-16.99,-16.51,-10.45,-5.6,-6.4,-7.01,-14.82,-18.69,-14.63,-17.34,-14.59,-10.78,-9.03
193112,-34.21,-11.58,-18.67,-21.53,-10.61,-16.08,-19.04,-21.16,-23.83,-10.49,-10.8,-15.39,-17.18,-15.9,-23.19,-21.77,-19.79,-23.15,-26.71
193201,16.54,-3.4,2.02,8.13,-3.65,-1.43,2.44,7.02,8.07,-4.15,-2.84,-2.38,0.11,-1.17,7.62,6.49,8.17,5.75,18.33
193202,5.72,7.06,1.72,0.9,7.01,5.5,1.98,-1.44,2.86,5.26,9.79,7.24,2.74,2.23,1.65,-1.88,-0.51,3.74,-0.64
193203,-5.75,-10.2,-14.94,-13.44,-10.93,-10.53,-13.29,-16.7,-9.3,-10.95,-10.91,-7.21,-16.03,-7.45,-21.08,-16.78,-16.54,-8.13,-14.12
193204,-24.17,-18.13,-19.94,-17.75,-18.04,-19.73,-18.37,-18.14,-18.72,-20.47,-14.36,-18.49,-22.02,-18.37,-18.36,-18.67,-17.04,-17.59,-23.12
193205,-10.83,-19.21,-25.83,-22.62,-20.46,-17.48,-27.61,-26.14,-19.25,-22,-18.28,-14.29,-23.6,-24.46,-32.34,-26.66,-25.06,-19.58,-17.91
193206,-1.36,-1.7,0.46,5.93,-2.84,0.18,2.45,8.58,6,-1.4,-4.78,2.54,-4.84,1.34,4.31,9.9,5.87,7.82,-1.43
193207,45.22,28.21,47.96,66.74,26.68,36.31,47.4,58.79,74.1,30.12,23.02,34.56,42.63,46.49,48.82,55.68,63.34,73.81,74.66
193208,112.5,31.41,51.2,67.13,31.05,37.32,49.73,56.69,81.55,30.7,31.44,32.8,52.75,41.55,62.33,54.27,60.03,72.6,98.65
193209,-26.77,-1.05,-6.42,-6.74,0.46,-6.29,-7.93,-4.72,-7.61,0.99,-0.13,-6.85,-4.62,-10.11,-5.03,-3.58,-6.25,-4.89,-12.24
193210,-26.68,-10.78,-17.61,-23.48,-11.36,-11.59,-16.32,-20.14,-25.09,-12.96,-9.53,-8.41,-20.69,-12.53,-21.08,-18.34,-22.6,-24.73,-25.76
193211,-5.28,-2.71,-8.94,-15.53,-3.09,-2.46,-10.07,-10.18,-18.79,-3.36,-2.8,-1.18,-6.71,-9.42,-10.96,-7.68,-13.8,-18.33,-19.65
193212,-8.22,6.79,0.89,-5.94,7.05,5.84,1.49,-5.98,-5.64,7.9,6.12,5.76,6.1,2.78,-0.34,-5.91,-6.09,-3.74,-9.32
193301,-11.47,0.01,2.83,9.32,-0.21,0.43,4.49,4.3,11.98,-0.21,-0.21,0.87,-1.1,0.65,10.04,1.9,8,9.41,17.28
193302,-17.79,-14.96,-16.67,-18.11,-14.67,-17.13,-15.33,-16.61,-21.38,-16.02,-13.18,-16.13,-20.69,-13.6,-17.63,-16.74,-16.41,-21.2,-21.72
193303,21.05,0.99,9.66,8.74,0.19,6.69,7.51,8.96,11.89,3.81,-3.65,4.16,16.09,7.08,8.12,10.17,7.2,10.92,13.78
193304,37.73,33.8,52.07,57.09,32.76,42.4,48.58,56.72,58.88,42.16,21.93,37.78,57.79,47.09,50.63,57.08,56.18,57.11,62.2
193305,77.55,17.21,28.47,48.48,17.82,18.66,25.89,38.97,56.3,17.94,17.66,14.99,29.31,27.6,23.6,35.31,44.45,52.73,62.79
193306,43.48,11.54,15.94,21.23,11.4,12.96,15.31,19.61,20.86,11.74,10.95,12.04,15.33,13.76,17.41,18.32,21.44,20.11,22.14
193307,8.63,-8.9,-13.04,-8.93,-8.55,-11.42,-12.48,-10.99,-8.77,-8.86,-8.35,-10.17,-14.3,-14.72,-8.62,-12.8,-9.06,-12.82,0.98
193308,0.21,10.6,15.37,17.28,9.22,16.52,15.17,13.9,18.8,8.56,9.63,15.75,18.37,14.62,16.05,11.84,16,21.91,12.32
193309,-19.6,-9.14,-12.43,-19.59,-9.68,-7.78,-12.8,-15.64,-24.77,-8.76,-10.25,-7.21,-9.13,-10.8,-15.99,-16.14,-15.14,-22.64,-29.58
193310,-18.58,-6.18,-10.71,-17.24,-6.66,-5.32,-10.87,-16.35,-17.43,-6.79,-6.58,-4.51,-7.25,-9.93,-12.46,-15.58,-17.1,-18.11,-15.72
193311,-14.22,9.66,11.76,11.76,9.6,10.06,12.43,12.73,9.06,7.26,11.07,9.84,10.61,15,7.97,11.65,13.81,9.9,7.04
193312,3.5,2.13,1.97,2.96,1.79,2.02,2.07,3.54,6.39,-0.89,3.41,3.26,-1.04,0.93,4.17,6.71,0.47,7.44,3.77
193401,41.35,9.94,17.57,26,10.19,10.65,18.45,19.39,34.95,12.09,9.08,9.13,14.57,16.44,22.02,19.67,19.11,30.15,47.29
193402,0.02,-2.37,-2.81,-2.52,-2.43,-2.21,-3.34,-3.02,-0.74,-4.59,-1.14,-2.15,-2.34,-4.2,-1.86,-1.99,-4.08,-1.04,-0.06
193403,1.76,0.03,0.02,-0.53,0.15,0.36,-0.76,-0.69,-0.51,1.38,-0.56,-0.36,2.12,-0.97,-0.4,-0.84,-0.54,-1.42,1.52
193404,-4.6,-1.74,-2.24,-4.17,-1.91,-0.93,-1.88,-4.71,-5.35,-0.56,-2.7,-1.19,-0.31,-2.35,-1.09,-6.22,-3.11,-5.07,-5.97
193405,-21.78,-6.41,-8.69,-13.27,-6.39,-6.99,-7.64,-11.89,-15.65,-5.29,-7.05,-6.48,-8.22,-6.19,-10.02,-12.59,-11.17,-16.37,-14.06
193406,-9.31,2.64,2.3,2.01,2.33,2.96,2.51,3.37,0.32,1.91,2.59,3.64,1.32,2.69,2.19,3.31,3.43,1.63,-2.48
193407,-19.5,-8.42,-12.06,-23.36,-7.73,-8.67,-14.79,-19.02,-29.83,-7.44,-8.4,-10.19,-7.38,-13.57,-16.8,-20.83,-17.76,-29.77,-29.95
193408,19.26,6.12,4.61,6.64,5.68,5.44,4.98,5.22,9.56,5.89,5.17,7.28,3.94,3.58,7.4,6.35,4.46,7.82,13.01
193409,1.93,-0.27,-0.16,-0.59,-0.06,-0.16,-0.62,-1.31,0.86,0.09,-0.41,-0.81,0.39,-0.42,-0.95,-0.7,-1.72,0.34,1.83
193410,-15,-0.42,-2.67,-6.92,0.58,-1.55,-4.38,-6.53,-7.39,0.22,1.46,-3.03,-0.31,-6.07,-1.56,-6.5,-6.55,-7.19,-7.76
193411,6.03,10.31,5.37,10.92,10.78,5.53,7.59,12.8,5.15,10.55,11.34,9.04,2.67,7.52,7.71,8.87,15.49,6.39,2.84
193412,16.47,0.8,0.58,-1.69,1.05,0.65,-0.24,0.73,-3.78,-0.04,3.66,0.09,1.14,-1.71,2.1,2.16,-0.19,-4.03,-3.3
193501,-7.53,-3.04,-2.9,-8.37,-2.23,-3.7,-2.71,-7.01,-10.73,-2.95,-0.57,-5.3,-2.32,-2.49,-3.04,-7.43,-6.74,-11.93,-8.42
193502,-16.54,-0.89,-1.8,-11.87,0.23,-1.61,-3.32,-8.72,-14.52,-0.13,1.04,-4.1,0.48,-3.8,-2.56,-6.6,-10.11,-15.31,-13.05
193503,-20.38,-3,-3.48,-8.36,-3.58,-2.53,-2.33,-8.65,-9.74,-3.78,-3.12,-1.26,-3.54,-2.08,-2.7,-10.4,-7.48,-8,-12.88
193504,3.4,8.02,9.87,12.63,6.97,10.28,9.9,12.05,13.03,6.66,7.67,11.1,9.6,9,11.27,11.53,12.38,13.74,11.7
193505,12.76,3.08,4.27,3.6,2.5,4.86,3.96,2.42,4.63,2.56,2.37,4.74,4.95,2.38,6.33,1.57,2.96,5.2,3.54
193506,5.29,6.38,5.62,6.93,6.58,5.97,4.87,6.3,9.07,6.58,6.57,5.81,6.1,2.9,7.7,7.44,5.57,10.52,6.24
193507,11.58,7.01,6.5,16.49,7.39,6.4,5.53,11.96,13.07,5.52,9.35,4.8,7.3,5.02,6.61,8.36,22.02,16.02,6.91
193508,10.84,2.58,2.41,5.22,2.59,1.58,2.36,3.98,7.53,2.89,2.28,2.53,1.06,2.32,2.44,4.86,1.76,6.94,8.87
193509,24.21,4.68,0.83,1.04,5.22,0.1,1.71,1.42,-0.71,3.91,6.56,1.42,-0.63,2.38,0.31,0.49,3.81,-0.3,-1.61
193510,13.86,6.65,8.07,6.15,6.51,8.38,7.12,8.56,6.57,4.54,8.47,7.53,8.86,4.79,12.05,9.8,5.5,6.51,6.71
193511,5.57,3.08,5.78,15.21,2.82,5.21,5.86,7.07,18.68,2.6,3.03,4.68,5.5,7.31,2.98,5.96,9.92,15.64,25.47
193512,9.62,3.01,5.97,7.67,2.93,4.3,6.29,7.04,7.87,3.54,2.36,3.5,4.74,3.55,11.96,6.91,7.36,10,3.48
193601,51.58,3.37,9.46,13.75,3.41,6.32,8.54,12.98,16.38,2.99,3.82,3.12,8.07,6.63,12.17,14.44,9.41,15.41,18.5
193602,-3.98,1.92,2.94,7.07,1.98,1.61,4.22,3.91,4.8,1.15,2.78,1.53,1.65,4.54,3.63,1.12,11.05,4.04,6.43
193603,-3.67,2.61,0.16,-0.74,3.15,1.22,-1.51,2.16,-2.56,0.73,5.45,-0.71,2.22,-1.86,-0.87,2.11,2.29,-2,-3.73
193604,-6.73,-7.24,-8.58,-11.09,-7.06,-8.53,-7.73,-10.98,-11.13,-6.12,-7.91,-8.36,-8.61,-7.2,-8.69,-10.96,-11.03,-10.53,-12.38
193605,-0.4,5.06,5.13,6.87,5.4,4.32,4.87,5.84,7.72,5.26,5.53,2.82,5.08,4.93,4.75,5.97,5.53,5.78,11.92
193606,-3.55,3.57,2.05,0.04,3.8,1.34,2.33,1.81,0.39,2.81,4.72,2.07,0.98,2.42,2.16,2.82,-0.53,0.68,-0.21
193607,11.51,6,6.26,11.94,6.14,6.1,5.82,10.58,10.61,8.27,1.78,5.18,7.13,5.01,7.61,7.31,13.16,9.72,13.88
193608,-2.17,0.3,0.84,4.33,0.07,1.17,0.84,3,4.28,-0.46,1.23,1.7,0.58,0.83,0.87,1.17,4.37,3.65,6.5
193609,8.96,0.94,1.28,0.81,0.66,1.75,1.1,1.78,0.51,0.6,0.81,2.58,0.81,0.87,1.57,2.75,1.08,-0.1,2.59
193610,16.39,6.36,8.7,8.45,6.56,4.73,9.54,10.81,5.27,7.13,5.35,5.19,4.23,7.07,14.75,10.12,11.31,6.04,2.72
193611,-0.06,3.52,3.43,0.7,3.36,3.88,3.19,2.63,0.31,2.29,5.7,4.47,3.23,3.36,2.85,4.85,1.02,0.96,-1.9
193612,3.86,-1.75,2.39,1.73,-2.09,0.2,1.8,4.46,1.54,-2.03,-2.21,0.32,0.07,0.3,4.74,7.89,1.89,1.62,1.26
193701,23.47,3.68,1.68,6.7,3.83,3.72,0.5,3.76,10.16,5.09,1.17,2.84,4.69,-0.11,1.66,3.75,3.77,11.23,6.36
193702,-3.95,-0.14,0.84,6.83,-0.21,0.76,0.87,2.5,9.72,-0.04,-0.58,0.32,1.25,-1.06,4.42,0.3,4.24,8.76,13.28
193703,1.5,-1.76,-0.21,5.65,-2.04,-1.61,0.34,2.36,7.78,-2.37,-1.31,-0.12,-3.23,-1.43,3.45,0.67,3.64,6.5,12.26
193704,-6.21,-6.89,-6.4,-11.04,-6.98,-6.21,-6.7,-8.79,-10.83,-6.95,-7.04,-6.35,-6.06,-5.3,-9.02,-5.44,-11.25,-11.33,-9.19
193705,-8.34,0.23,-0.73,-3.09,0.53,-2.15,-0.07,-2.5,-2.79,0.47,0.67,-1.52,-2.86,0.36,-0.82,-1.36,-3.39,-1.83,-5.9
193706,-11.1,-4.21,-2.96,-7.75,-4.47,-3.26,-2.67,-5.12,-8.93,-4.94,-3.45,-2.72,-3.87,-2.12,-3.63,-3.3,-6.58,-6.36,-17.61
193707,22.38,9.25,8.01,10.96,8.66,10.59,7.07,10.36,10.71,7.51,10.06,11.56,9.61,8.24,6.15,9.41,11.31,11.46,8.6
193708,-10.51,-4.22,-4.61,-7.6,-3.12,-6.1,-4.97,-5.81,-7.85,-3.85,-2.26,-8.41,-3.76,-6.21,-3.99,-4.35,-7.26,-6.81,-10.84
193709,-25.68,-12.59,-12.75,-19.57,-12.11,-15.77,-10.44,-16.57,-20.98,-12.5,-11.65,-14.52,-16.97,-14.69,-7.12,-15.58,-17.57,-20.28,-23.08
193710,-7.68,-10.19,-7.68,-14.06,-10.19,-9.34,-7,-9.93,-16.55,-9.92,-10.51,-10.18,-8.51,-7.62,-6.54,-9.22,-10.68,-15.63,-19.44
193711,-13.13,-8.81,-7.86,-8.45,-8.78,-9.25,-7.54,-7.21,-9.19,-7.67,-10.07,-8.93,-9.56,-10.27,-5.59,-6.91,-7.52,-8.53,-11.33
193712,-15.1,-4.36,-3.14,-7.16,-3.82,-5.17,-2.42,-6.36,-6.8,-1.58,-6.5,-6.6,-3.76,-2.32,-2.48,-5.18,-7.61,-4.18,-15.59
193801,-0.63,1.39,-0.12,-0.33,1.63,0.68,-0.67,0.88,-1.46,-0.08,3.8,0.36,0.98,1.87,-2.38,0.69,1.09,-1.29,-2.12
193802,3.32,6.43,5.39,5.9,6.12,7.42,4.62,6.14,5.86,5.95,6.31,7.79,7.05,8.7,1.76,6.32,5.96,4.2,12.2
193803,-37.24,-23.67,-22.68,-30.32,-23.38,-24.13,-21.92,-25.99,-32.68,-23.64,-23.06,-24.88,-23.4,-25.01,-19.6,-24.7,-27.4,-29.49,-43.98
193804,26.04,13.98,14.63,16.2,13.53,15.16,14.41,17.57,13.19,11.36,16.14,15.94,14.43,15.84,13.4,15.75,19.62,11.53,20.56
193805,-10.47,-3.64,-3.78,-6.01,-3.55,-5.37,-2.26,-6.46,-5.33,-2.97,-4.21,-4.06,-6.61,-4,-1.01,-6.2,-6.75,-5.48,-4.71
193806,41.77,25.85,21.21,29.84,25.67,27.01,19.06,24.09,33.16,26.97,24.15,26.6,27.4,22.42,16.73,22.21,26.17,31.93,38.16
193807,6.71,6.87,7.75,10.02,8.04,5.76,7.68,7.22,13.04,6.06,11.03,4.35,7.97,7.98,7.26,7.4,6.97,11.16,16.9
193808,-19.52,-0.49,-5.99,-5.83,0.03,-3.68,-5.42,-4.64,-8.23,-0.78,1.2,-1.67,-6.7,-4.89,-6.15,-5.66,-3.26,-8.32,-8.06
193809,-0.28,1.3,0.45,-1.24,1.18,1.4,-0.11,0.26,-2.74,1.63,0.55,1.58,1.13,-0.57,0.54,0.23,0.3,-1.62,-4.93
193810,12.18,7.04,7.6,14.65,7.2,5.9,7.11,13.2,19.1,6.72,7.89,6.66,4.7,9.14,4.31,15.45,10.24,19.61,18.08
193811,-19.76,-1.21,-2.1,-3.31,-1.57,-0.51,-2.97,-2.98,-3.87,-1.25,-2.02,-0.41,-0.69,-3.27,-2.53,-3.17,-2.72,-2.94,-5.77
193812,4.92,3.38,4.5,7.8,3.53,4.04,3.85,4.19,10.31,4.4,2.28,3.05,5.63,4.65,2.71,3.47,5.17,9.71,11.57
193901,2.01,-5.27,-6.37,-10.93,-5.97,-4.84,-5.78,-7.97,-12.37,-5.43,-6.75,-3.66,-6.7,-5.11,-6.75,-6.94,-9.34,-11.45,-14.26
193902,-8.24,3.38,3.22,6.79,2.87,3.37,3.69,6.06,7.32,2.21,3.85,4.52,1.51,4.65,2.28,5.92,6.24,7.1,7.78
193903,-19.98,-9.93,-13.96,-21.67,-11.03,-9.21,-13.67,-18.25,-25.32,-8.79,-14.32,-7.51,-12.05,-14.97,-11.7,-18.63,-17.73,-23.72,-28.67
193904,-8.69,-0.14,-0.06,-2.47,-0.48,0.42,-0.18,-1.84,-0.83,-0.84,0.09,0.59,0.12,0.01,-0.47,-0.18,-4.08,-1.19,-0.02
193905,-2.86,6.95,5.81,9.42,7.07,6.28,5.73,7.45,10.24,6.75,7.56,6.7,5.54,7.06,3.78,6.64,8.58,10.21,10.31
193906,-7.13,-4.43,-6.67,-11.34,-4.36,-5.48,-5.48,-8.68,-13.57,-3.63,-5.48,-4.57,-7.1,-5.69,-5.17,-8.44,-9.02,-12.94,-14.98
193907,-1.77,11.4,8.63,13.98,11.29,8.87,9.42,10.11,17.52,9.91,13.32,11.91,7.55,8.76,10.49,9.94,10.51,15.89,20.49
193908,-4.78,-6.42,-6.12,-10.96,-6.03,-5.85,-7.44,-7.35,-14.11,-5.01,-7.49,-8.27,-4.77,-7.01,-8.12,-7.22,-7.67,-11.86,-18.04
